code,id,uta,uta1
010,00335,あきののを−わけゆくつゆに−うつりつつ−わかころもては−はなのかそする,あきののの−はなのいろいろ−とりすゑて−わかころもてに−うつしてしかな
010,00338,ゆふされは−たまちるのへの−をみなへし−まくらさためぬ−あきかせそふく,ゆふされは−わかみのみこそ−かなしけれ−いつれのかたに−まくらさためむ
010,00339,ふちはかま−ぬしはたれとも−しらつゆの−こほれてにほふ−のへのあきかせ,ぬししらぬ−かこそにほへれ−あきののに−たかぬきかけし−ふちはかまそも
010,00349,はなすすき−またつゆふかし−ほにいてては−なかめしとおもふ−あきのさかりを,いまよりは−うゑてたにみし−はなすすき−ほにいつるあきは−わひしかりけり
010,00349,はなすすき−またつゆふかし−ほにいてては−なかめしとおもふ−あきのさかりを,しのふれは−くるしかりけり−しのすすき−あきのさかりに−なりやしなまし
010,00364,たへてやは−おもひありとも−いかかせむ−むくらのやとの−あきのゆふくれ,おもひあらは−むくらのやとに−ねもしなむ−ひしきものには−そてをしつつも
010,00366,あきかせの−いたりいたらぬ−そてはあらし−たたわれからの−つゆのゆふくれ,はるのいろの−いたりいたらぬ−さとはあらし−さけるさかさる−はなのみゆらむ
010,00368,それなから−むかしにもあらぬ−あきかせに−いととなかめを−しつのをたまき,いにしへの−しつのをたまき−くりかへし−むかしをいまに−なすよしもかな
010,00369,ひくらしの−なくゆふくれそ−うかりける−いつもつきせぬ−おもひなれとも,こめやとは−おもふものから−ひくらしの−なくゆふくれは−たちまたれつつ
010,00371,あきかせの−よもにふきくる−おとはやま−なにのくさきか−のとけかるへき,あきかせの−ふきにしひより−おとはやま−みねのこすゑも−いろつきにけり
010,00374,ふかくさの−さとのつきかけ−さひしさも−すみこしままの−のへのあきかせ,としをへて−すみこしさとを−いてていなは−いととふかくさ−のとやなりなむ
010,00375,おほあらきの−もりのこのまを−もりかねて−ひとたのめなる−あきのよのつき,ことならは−やみにそあらまし−あきのよの−なそつきかけの−ひとたのめなる
010,00380,なかめわひぬ−あきよりほかの−やともかな−のにもやまにも−つきやすむらむ,いつこにか−よをはいとはむ−こころこそ−のにもやまにも−まとふへらなれ
010,00381,つきかけの−はつあきかせと−ふけゆけは−こころつくしに−ものをこそおもへ,このまより−もりくるつきの−かけみれは−こころつくしの−あきはきにけり
010,00389,にほのうみや−つきのひかりの−うつろへは−なみのはなにも−あきはみえけり,くさもきも−いろかはれとも−わたつうみの−なみのはなにそ−あきなかりける
010,00391,ことわりの−あきにはあへぬ−なみたかな−つきのかつらも−かはるひかりに,ひさかたの−つきのかつらも−あきはなほ−もみちすれはや−てりまさるらむ
